"LJC FINANCIAL, LLC",
Profit and Loss,
"January 1-31, 2026",

,Total
Income,
Dividends received,0.07
Interest Income - Banks,725.93
Fidelity Investments,-0.07
Total for Interest Income - Banks,$725.86
Lending Income,
Portfolio loans,
Interest Income,"73,897.14"
Late fees,"1,079.67"
Misc,179.08
NSF payments,"-19,888.16"
Bank NSF fees charged,180.00
Total for NSF payments,"-$19,708.16"
Origination Fees,
Origination - renewals,"2,500.00"
Total for Origination Fees,"$2,500.00"
Total for Portfolio loans,"$57,947.73"
Total for Lending Income,"$57,947.73"
Rental Income,
1220 W. 18th St.,"3,575.00"
"1256 Leanne Ct., Kennedale, TX","2,500.00"
1311 Jefferson,"1,772.00"
13923 Ivymount,922.58
6810 Heath,"1,750.00"
Total for Rental Income,"$10,519.58"
Unapplied Cash Payment Income,$0.00
Total for Income,"$69,193.24"
Gross Profit,"$69,193.24"
Expenses,
Automobile Expense,"1,189.33"
Bank Service Charges,140.00
Analysis Charges,325.96
Total for Bank Service Charges,$465.96
Computer and Internet Expenses,965.50
Web hosting - LJC Financial,39.84
Total for Computer and Internet Expenses,"$1,005.34"
Donations,500.00
Dues and Subscriptions,31.96
WSJ,126.62
Total for Dues and Subscriptions,$158.58
Health Insurance-Partner,788.11
Doctors,"3,348.14"
Insurance premium,713.96
Prescriptions,846.27
Total for Health Insurance-Partner,"$5,696.48"
Insurance Expense,
Member life insurance,
Jeremy Cohen,800.00
Liora Cohen,645.00
Total for Member life insurance,"$1,445.00"
Total for Insurance Expense,"$1,445.00"
Lending,
Bank expenses,
b1 WLOC fees,
Advance fee,150.00
Total for b1 WLOC fees,$150.00
CSB,
Legal,"1,145.00"
Total for CSB,"$1,145.00"
Interest expense-Banks,
Lone Star Bank,"8,437.74"
Simmons Bank DLOC,"56,953.86"
Total for Interest expense-Banks,"$65,391.60"
Simmons Bank DLOC fees,
Advance fee,"4,462.50"
Legal,"1,145.00"
Origination fee,"6,450.00"
Other DLOC fees,4.00
Total for Simmons Bank DLOC fees,"$12,061.50"
Wire fees,-70.00
Total for Bank expenses,"$78,678.10"
Legal and professional,
Invicta Law Firm,"4,028.70"
Total for Legal and professional,"$4,028.70"
Underwriting fees,
Appraisals,745.00
Flood determination,32.00
Total for Underwriting fees,$777.00
Total for Lending,"$83,483.80"
Office Supplies,142.92
Rental property,
HOA fees,
13923 Ivymount,243.07
Total for HOA fees,$243.07
Insurance expense,"4,289.17"
Interest Expense,"3,176.84"
1311 Jefferson DSCR,"2,065.33"
7803 Broadview,963.15
Total for Interest Expense,"$6,205.32"
Mortgage interest expense,
6810 Heath St.,"1,765.12"
7803 Broadview,963.97
Total for Mortgage interest expense,"$2,729.09"
Property Management,
Westside Realty,
1220 W 18th St.,303.88
1311 Jefferson,150.62
13923 Ivymount,78.42
6810 Heath,148.75
Total for Westside Realty,$681.67
Total for Property Management,$681.67
Repairs & Maintenance,
3427 Wentworth,145.00
3807 Hogan Ct.,"33,000.00"
Total for Repairs & Maintenance,"$33,145.00"
Utilities,
13923 Ivymount,96.82
3402 Crosby Landing,175.68
3427 Wentworth,
Gas - CenterPoint,101.25
Total for 3427 Wentworth,$101.25
6119 W. University Hills,15.84
Total for Utilities,$389.59
Total for Rental property,"$47,682.91"
Repairs & Maintenance,677.28
Telephone Expense,338.98
Unapplied Cash Bill Payment Expense,700.00
Total for Expenses,"$143,486.58"
Net Operating Income,"-$74,293.34"
Other Income,
Finance charges,3.76
Total for Other Income,$3.76
Net Other Income,$3.76
Net Income,"-$74,289.58"



"Cash Basis Sunday, June 28, 2026 06:10 AM GMTZ",
