JUSTIN FINANCIAL LLC,,
Trial Balance,,
"As of Dec 31, 2025",,

Full name,Debit,Credit
Cash,,0.00
Cash:Ckg at Simmons- 5865,"18,632.32",
Cash:DO NOT USEOld operating account,,0.00
Due (to) from,,0.00
Due (to) from:4J&L Partners,,"643,522.69"
Due (to) from:LJC Financial,"187,638.17",
Inventory (deleted):Accessories (deleted),,"4,932.96"
Inventory (deleted):Furniture (deleted),,"18,288.71"
Undeposited Funds,,0.00
Real estate owned,"215,000.00",
"Real estate owned:3807 Hogan Ct., Sugar Land TX","925,000.00",
Franchise fees,"200,519.62",
Accounts Payable,,"524,932.12"
Notes Payable:LJC Financial:13923 Ivymount,,"475,000.00"
Notes Payable:LJC Financial:3807 Hogan St.,,"925,000.00"
Notes Payable:LJC Financial:5229 Wilmington 10-8-25,,"100,386.00"
Notes Payable:LJC Financial:7802 Ford St.,,"189,000.00"
Notes Payable:Payable to Jerry Cohen,,831.32
Rehab holdback:7802 Ford St.,"85,000.00",
Distributions,,0.00
Opening Bal Equity,"237,500.00",
Owner's Capital,,0.00
Partners Equity,,0.00
Retained Earnings,"994,488.18",
Bank Service Charges,128.00,
Miscellaneous,"4,268.82",
Professional Fees:Legal Fees,375.00,
Taxes:Property,"13,343.69",
TOTAL,"$2,881,893.80","$2,881,893.80"



"Cash Basis Saturday, June 27, 2026 10:28 PM GMTZ",,
